Code,Name,Status,Chris,Maggie,Allyson,Edward
AFG,Afghanistan,Sovereign,Y,,,
ALB,Albania,Sovereign,Y,Y,,
DZA,Algeria,Sovereign,,,,
ASM,American Samoa,Non-sovereign,Y,Y,,
AND,Andorra,Sovereign,,,,
AGO,Angola,Sovereign,,,,
ATG,Antigua and Barbuda,Sovereign,Y,Y,Y,Y
ARG,Argentina,Sovereign,Y,Y,Y,Y
ARM,Armenia,Sovereign,Y,Y,,
ABW,Aruba,Non-sovereign,Y,Y,Y,Y
AUS,Australia,Sovereign,Y,Y,Y,Y
AUT,Austria,Sovereign,Y,Y,Y,Y
AZE,Azerbaijan,Sovereign,Y,Y,,
PT-20,Azores,Non-sovereign,,,,
BHR,Bahrain,Sovereign,,,,
BGD,Bangladesh,Sovereign,,,,
BRB,Barbados,Sovereign,,,,
BLR,Belarus,Sovereign,,,,
BEL,Belgium,Sovereign,Y,Y,,
BLZ,Belize,Sovereign,Y,Y,,
BEN,Benin,Sovereign,,,,
BMU,Bermuda,Non-sovereign,,,,
BTN,Bhutan,Sovereign,,,,
BOL,Bolivia,Sovereign,,Y,,
BIH,Bosnia and Herzegovina,Sovereign,Y,Y,,
BWA,Botswana,Sovereign,Y,Y,Y,Y
BRA,Brazil,Sovereign,Y,Y,Y,Y
VGB,British Virgin Islands,Non-sovereign,,,,
BRN,Brunei,Sovereign,,,,
BGR,Bulgaria,Sovereign,Y,Y,Y,
BFA,Burkina Faso,Sovereign,Y,,,
BDI,Burundi,Sovereign,Y,Y,,
CPV,Cabo Verde,Sovereign,,,,
KHM,Cambodia,Sovereign,Y,Y,Y,Y
CMR,Cameroon,Sovereign,Y,,,
CAN,Canada,Sovereign,Y,Y,Y,Y
ES-CN,Canary Islands,Non-sovereign,Y,Y,Y,Y
CYM,Cayman Islands,Non-sovereign,Y,Y,Y,Y
CAF,Central African Republic,Sovereign,,,,
ES-CE,Ceuta,Non-sovereign,,,,
TCD,Chad,Sovereign,,,,
CHL,Chile,Sovereign,Y,Y,Y,Y
CHN,China,Sovereign,Y,Y,Y,Y
COL,Colombia,Sovereign,Y,Y,Y,Y
COM,Comoros,Sovereign,,,,
COG,Republic of the Congo,Sovereign,Y,,,
COD,Democratic Republic of the Congo,Sovereign,Y,,,
COK,Cook Islands,Sovereign,Y,Y,,
CRI,Costa Rica,Sovereign,Y,Y,Y,Y
CIV,Cóte d'Ivoire,Sovereign,Y,,,
HRV,Croatia,Sovereign,Y,Y,Y,Y
CUB,Cuba,Sovereign,,,,
CUW,Curação,Sovereign,,,,
CYP,Cyprus,Sovereign,Y,Y,,
CZE,Czechia,Sovereign,Y,Y,Y,
DNK,Denmark,Sovereign,Y,Y,,
DJI,Djibouti,Sovereign,,,,
DMA,Dominica,Sovereign,Y,Y,Y,Y
DOM,Dominican Republic,Sovereign,Y,Y,Y,Y
ECU,Ecuador,Sovereign,,Y,,
EGY,Egypt,Sovereign,Y,Y,Y,Y
SLV,El Salvador,Sovereign,,Y,,
GNQ,Equatorial Guinea,Sovereign,Y,,,
ERI,Eritrea,Sovereign,,,,
EST,Estonia,Sovereign,,,,
SWZ,Eswatini,Sovereign,Y,Y,Y,Y
ETH,Ethiopia,Sovereign,,,,
FRO,Faroe Islands,Non-sovereign,Y,Y,,
FSM,Federated States of Micronesia,Sovereign,,,,
FJI,Fiji,Sovereign,Y,Y,Y,Y
FIN,Finland,Sovereign,,,,
FRA,France,Sovereign,Y,Y,Y,Y
FR-GF,French Guiana,Non-sovereign,,,,
PYF,French Polynesia,Non-sovereign,Y,Y,,
GAB,Gabon,Sovereign,Y,,,
GEO,Georgia,Sovereign,Y,Y,,
DEU,Germany,Sovereign,Y,Y,Y,Y
GHA,Ghana,Sovereign,,,,
GIB,Gibraltar,Non-sovereign,Y,Y,,
GRC,Greece,Sovereign,Y,Y,Y,Y
GRL,Greenland,Non-sovereign,,,,
GRD,Grenada,Sovereign,,,,
FR-GP,Guadeloupe,Non-sovereign,,Y,,
GTM,Guatemala,Sovereign,Y,Y,,
GIN,Guinea,Sovereign,,,,
GNB,Guinea-Bissau,Sovereign,,Y,,
GUY,Guyana,Sovereign,,,,
HTI,Haiti,Sovereign,,Y,,
VAT,Vatican,Non-sovereign,Y,Y,Y,
HND,Honduras,Sovereign,,Y,Y,Y
HKG,Hong Kong,Non-sovereign,Y,Y,,
HUN,Hungary,Sovereign,Y,Y,Y,
ISL,Iceland,Sovereign,Y,Y,,
IND,India,Sovereign,Y,Y,,
IDN,Indonesia,Sovereign,Y,Y,,
IRN,Iran,Sovereign,,,,
IRQ,Iraq,Sovereign,,,,
IRL,Ireland,Sovereign,Y,Y,Y,
IMN,Isle of Man,Non-sovereign,Y,Y,,
ISR,Israel,Sovereign,Y,Y,Y,Y
ITA,Italy,Sovereign,Y,Y,Y,Y
