field,"admin0 without territories FR, ES, PT, CN, NL.geojson",CHN china without tibet.geojson,CN-XZ tibet.geojson,ES-CE Ceuta.geojson,ES-CN Canary Islands.geojson,ES-ML Melilla.geojson,ES-PM Balearic Islands.geojson,FR-GF French Guiana.geojson,FR-GP Guadeloupe.geojson,FR-MQ Martinique.geojson,FR-RE La Reunion.geojson,FR-YT Mayotte.geojson,NL-BQ1 Bonaire.geojson,NL-BQ2 Saba.geojson,NL-BQ3 St Eustatius.geojson,PT-20 Azores.geojson,PT-30 Madeira.geojson
ABBREV,string,string,,,,,,,,,,,,,,,
ABBREV_LEN,number,number,,,,,,,,,,,,,,,
ADM0_A3,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
ADM0_A3_AR,string,string,,,,,,,,,,,,,,,
ADM0_A3_BD,string,string,,,,,,,,,,,,,,,
ADM0_A3_BR,string,string,,,,,,,,,,,,,,,
ADM0_A3_CN,string,string,,,,,,,,,,,,,,,
ADM0_A3_DE,string,string,,,,,,,,,,,,,,,
ADM0_A3_EG,string,string,,,,,,,,,,,,,,,
ADM0_A3_ES,string,string,,,,,,,,,,,,,,,
ADM0_A3_FR,string,string,,,,,,,,,,,,,,,
ADM0_A3_GB,string,string,,,,,,,,,,,,,,,
ADM0_A3_GR,string,string,,,,,,,,,,,,,,,
ADM0_A3_ID,string,string,,,,,,,,,,,,,,,
ADM0_A3_IL,string,string,,,,,,,,,,,,,,,
ADM0_A3_IN,string,string,,,,,,,,,,,,,,,
ADM0_A3_IT,string,string,,,,,,,,,,,,,,,
ADM0_A3_JP,string,string,,,,,,,,,,,,,,,
ADM0_A3_KO,string,string,,,,,,,,,,,,,,,
ADM0_A3_MA,string,string,,,,,,,,,,,,,,,
ADM0_A3_NL,string,string,,,,,,,,,,,,,,,
ADM0_A3_NP,string,string,,,,,,,,,,,,,,,
ADM0_A3_PK,string,string,,,,,,,,,,,,,,,
ADM0_A3_PL,string,string,,,,,,,,,,,,,,,
ADM0_A3_PS,string,string,,,,,,,,,,,,,,,
ADM0_A3_PT,string,string,,,,,,,,,,,,,,,
ADM0_A3_RU,string,string,,,,,,,,,,,,,,,
ADM0_A3_SA,string,string,,,,,,,,,,,,,,,
ADM0_A3_SE,string,string,,,,,,,,,,,,,,,
ADM0_A3_TR,string,string,,,,,,,,,,,,,,,
ADM0_A3_TW,string,string,,,,,,,,,,,,,,,
ADM0_A3_UA,string,string,,,,,,,,,,,,,,,
ADM0_A3_UN,number,number,,,,,,,,,,,,,,,
ADM0_A3_US,string,string,,,,,,,,,,,,,,,
ADM0_A3_VN,string,string,,,,,,,,,,,,,,,
ADM0_A3_WB,number,number,,,,,,,,,,,,,,,
ADM0_DIF,number,number,,,,,,,,,,,,,,,
ADM0_DIFF,string,string,,,,,,,,,,,,,,,
ADM0_ISO,string,string,,,,,,,,,,,,,,,
ADM0_TLC,string,string,,,,,,,,,,,,,,,
ADMIN,string,string,,,,,,,,,,,,,,,
BRK_A3,string,string,,,,,,,,,,,,,,,
BRK_DIFF,number,number,,,,,,,,,,,,,,,
BRK_GROUP,string,string,,,,,,,,,,,,,,,
BRK_NAME,string,string,,,,,,,,,,,,,,,
CONTINENT,string,string,,,,,,,,,,,,,,,
ECONOMY,string,string,,,,,,,,,,,,,,,
FCLASS_AR,string,,string,,,,,,,,string,,,,,,
FCLASS_BD,string,,string,,,,,,,,string,,,,,,
FCLASS_BR,string,,string,,,,,,,,string,,,,,,
FCLASS_CN,string,,string,,,,,,,,string,,,,,,
FCLASS_DE,string,,string,,,,,,,,string,,,,,,
FCLASS_EG,string,,string,,,,,,,,string,,,,,,
FCLASS_ES,string,,string,,,,,,,,string,,,,,,
FCLASS_FR,string,,string,,,,,,,,string,,,,,,
FCLASS_GB,string,,string,,,,,,,,string,,,,,,
FCLASS_GR,string,,string,,,,,,,,string,,,,,,
FCLASS_ID,string,,string,,,,,,,,string,,,,,,
FCLASS_IL,string,,string,,,,,,,,string,,,,,,
FCLASS_IN,string,,string,,,,,,,,string,,,,,,
FCLASS_ISO,string,,string,,,,,,,,string,,,,,,
FCLASS_IT,string,,string,,,,,,,,string,,,,,,
FCLASS_JP,string,,string,,,,,,,,string,,,,,,
FCLASS_KO,string,,string,,,,,,,,string,,,,,,
FCLASS_MA,string,,string,,,,,,,,string,,,,,,
FCLASS_NL,string,,string,,,,,,,,string,,,,,,
FCLASS_NP,string,,string,,,,,,,,string,,,,,,
FCLASS_PK,string,,string,,,,,,,,string,,,,,,
FCLASS_PL,string,,string,,,,,,,,string,,,,,,
FCLASS_PS,string,,string,,,,,,,,string,,,,,,
FCLASS_PT,string,,string,,,,,,,,string,,,,,,
FCLASS_RU,string,,string,,,,,,,,string,,,,,,
FCLASS_SA,string,,string,,,,,,,,string,,,,,,
FCLASS_SE,string,,string,,,,,,,,string,,,,,,
FCLASS_TLC,string,,string,,,,,,,,string,,,,,,
FCLASS_TR,string,,string,,,,,,,,string,,,,,,
FCLASS_TW,string,,string,,,,,,,,string,,,,,,
